0.361	-0.02
0.841	-0.02
1.410	-0.02
1.945	-0.01
2.480	-0.02
3.041	-0.02
3.567	-0.02
4.113	-0.01
4.591	-0.01
5.156	0.00
5.699	0.00
6.205	0.00
6.769	0.00
7.323	0.00
7.806	0.00
8.367	0.00
8.902	0.01
9.437	0.03
9.993	0.04
10.506	0.07
11.020	0.10
11.576	0.09
11.959	0.07
12.383	0.06
12.939	0.05
13.505	0.08
14.008	0.11
14.388	0.14
14.687	0.18
14.889	0.22
15.117	0.25
15.428	0.28
15.859	0.33
16.263	0.32
16.386	0.29
16.606	0.25
16.899	0.21
17.213	0.17
17.640	0.16
18.138	0.18
18.432	0.23
18.767	0.26
18.945	0.31
19.161	0.36
19.456	0.41
19.647	0.48
19.495	0.44
19.827	0.52
20.002	0.56
20.131	0.59
20.210	0.66
20.495	0.72
20.697	0.79
21.035	0.81
21.366	0.78
21.507	0.75
21.613	0.72
21.717	0.66
21.914	0.61
22.043	0.56
22.267	0.51
22.566	0.47
22.961	0.45
23.317	0.50
23.538	0.54
23.640	0.59
23.905	0.66
23.850	0.61
24.018	0.71
24.150	0.76
24.267	0.80
24.392	0.87
24.443	0.92
24.624	0.96
24.659	1.00
24.804	1.09
24.759	1.04
24.942	1.14
25.022	1.21
25.162	1.25
25.173	1.30
25.344	1.35
25.460	1.39
25.652	1.42
25.777	1.46
26.142	1.41
26.080	1.46
26.267	1.36
26.409	1.31
26.475	1.27
26.533	1.21
26.649	1.15
26.700	1.07
