0.33734	-0.01500
0.90399	-0.01770
1.32969	-0.01780
1.59849	-0.01392
2.14734	-0.01321
2.66586	-0.01311
3.05938	-0.02179
3.47635	-0.01617
4.05062	-0.01150
4.37506	-0.01824
4.65654	-0.00581
5.01611	-0.01083
5.15475	0.01202
5.66813	0.00792
6.25202	0.01639
6.71998	0.01776
7.30915	0.01369
7.85224	0.00585
8.39533	0.01720
8.95076	0.03058
9.49797	0.04872
10.05878	0.07240
10.56028	0.09821
11.09020	0.12746
11.60778	0.11666
11.89367	0.08752
12.38457	0.07091
12.84327	0.06855
13.39059	0.08479
13.82332	0.11995
14.28154	0.15876
14.66174	0.21106
14.93983	0.25658
15.16337	0.29613
15.50106	0.33955
15.77865	0.38372
16.10871	0.40223
16.48171	0.35750
16.76384	0.31223
17.01070	0.26846
17.23781	0.22813
17.61042	0.19568
18.08316	0.21522
18.46716	0.26791
18.74145	0.31218
19.04167	0.36027
19.20774	0.41032
19.45909	0.45448
19.61790	0.50547
19.81254	0.56052
19.92637	0.60828
20.02590	0.65320
20.23467	0.69611
20.30289	0.75230
20.55312	0.80248
20.68889	0.85462
20.97854	0.88730
21.31427	0.87278
21.44399	0.81316
21.68979	0.75203
21.81128	0.68864
22.00712	0.62829
22.09873	0.58414
22.31111	0.54289
22.58662	0.49664
23.06745	0.50235
23.38318	0.55887
23.57041	0.61205
23.76893	0.66422
23.92274	0.70834
23.98445	0.75143
24.14491	0.80024
24.22250	0.83981
24.31098	0.89639
24.43127	0.94904
24.51520	1.01106
24.58926	1.06029
24.73120	1.12347
24.77852	1.18788
24.89783	1.24847
25.02538	1.29180
25.06182	1.33108
25.10766	1.37618
25.23932	1.42551
25.37921	1.48110
25.57669	1.51253
25.87741	1.45117
25.99860	1.40347
26.15434	1.35237
26.29670	1.29323
26.42589	1.23918
26.45057	1.18199
26.57759	1.13958
