0.44796	-0.01067
0.37951	-0.01362
0.55004	-0.00991
0.67352	-0.00049
0.86337	-0.00533
1.06161	-0.00519
1.24978	-0.00059
1.45853	-0.00039
1.64918	-0.00524
1.83192	-0.00528
2.03773	-0.00511
2.21368	-0.00502
2.39054	-0.00516
2.55673	-0.01025
2.74989	-0.00034
2.94328	-0.00052
3.10597	-0.00041
3.27257	-0.00560
3.45262	-0.00065
3.63798	0.00004
3.82021	-0.00527
4.00041	-0.00039
4.15852	-0.00054
4.48781	0.01580
4.55446	0.01407
4.69454	0.02494
4.85670	0.02976
5.02487	0.04007
5.19540	0.04490
5.35678	0.06430
5.53057	0.06968
5.73050	0.08997
5.85986	0.11032
6.03979	0.12457
6.19503	0.13459
6.36556	0.14012
6.54196	0.13509
6.69044	0.13419
6.83597	0.11501
7.15351	0.09935
7.31815	0.09002
7.50632	0.08500
7.65920	0.07932
